Code	Gene
RB001	CDH3
RB002	MYC
RB003	MAGEA3
RB004	DKK4
RB005	NOTUM
RB006	KLK6
RB007	SIM2
RB008	TCN1
RB009	LCN2
RB010	KRT6B
RB011	KRT80
RB012	MMP7
RB013	KLK10
RB014	ITGA6
RB015	FOXQ1
RB016	MACC1
RB017	CLDN2
RB018	TGFBI
RB019	ETV4
RB020	HBA
RB021	HBB
RB022	MMP1
RB023	MMP3
RB024	MMP10
RB025	MMP11
RB026	ACTB
RB027	GAPDH
RB028	TF
RB029	HBD
RB030	S100A9
RB031	S100P
RB032	RPS10
RB033	CXCL8
RB034	REG1A
RB035	COL11A1
RB036	SLCO4A1
RB037	CEMIP
RB038	ASCL2
RB039	GDF15
RB040	COMP
RB041	DPEP1
RB042	TRIB3
RB043	INHBA
RB044	CLDN1
RB045	CEL
RB046	CPNE7
RB047	NME2
RB048	TESC
RB049	GRIN2D
RB050	LARGE2
RB051	KRT17
RB052	CA9
RB053	TRIM29
RB054	NKD2
RB055	RHPN1
RB056	KRT23
RB057	COL10A1
RB058	TNS4
RB059	SERPINB5
RB060	ADAM12
RB061	SPTBN2
RB062	AJUBA
RB063	ADAMTS12
RB064	CTHRC1
RB065	MSX2
RB066	REG3A
RB067	WNT2
RB068	CXCL5
RB069	CXCL3
RB070	LRP8
RB071	HAGHL
RB072	PRSS22
RB073	MAPK15
RB074	ESM1
RB075	PKP1
RB076	TG
RB077	TACSTD2
RB078	MDFI
RB079	SH3TC2
RB080	EPHX4
RB081	PRR36
RB082	C2CD4A
RB083	EVA1A
RB084	CGREF1
RB085	VWA2
RB086	EPOP
RB087	CBX2
RB088	S100A2
RB089	PDX1
RB090	SLC4A11
RB091	SALL4
RB092	TUBB3
RB093	APLN
RB094	IPO4
RB095	MSX1
RB096	KRT7
RB097	STRA6
RB098	TNFSF9
RB099	CCNP
RB100	BLACAT1
RB101	KLK7
RB102	IL11
RB103	PRR7
RB104	STYXL2
RB105	CST1
RB106	CCDC78
RB107	POU5F1B
RB108	ATG9B
RB109	PLEKHN1
RB110	KLHL35
RB111	GAD1
RB112	DDN
RB113	STK31
RB114	OLR1
RB115	EGFL6
RB116	OTX1
RB117	PPBP
RB118	LEMD1
RB119	CLEC5A
RB120	TLX1
RB121	IGFL4
RB122	ALKAL1
RB123	FAM166C
RB124	SFTA2
RB125	GRHL3
RB126	PIWIL1
RB127	DHRS2
RB128	NXPH4
RB129	ULBP2
RB130	SMKR1
RB131	CST2
RB132	CBY2
RB133	ASCL5
RB134	UCN2
RB135	KLC3
RB136	WNT7B
RB137	ULBP1
RB138	GJB4
RB139	SERPINA4
RB140	SPATA12
RB141	IRX5
RB142	PRSS33
RB143	RP1
RB144	MCIDAS
RB145	AKR1C4
RB146	DMBX1
RB147	MMP13
RB148	RAET1L
RB149	SPP1
RB150	SLC7A5
RB151	TIMP1
RB152	COL1A1
RB153	IFITM1
RB154	SCD
RB155	IFI6
RB156	TFF1
RB157	BGN
RB158	UBE2C
RB159	SOX9
RB160	CHPF
RB161	LY6E
RB162	CPNE1
RB163	CXCL1
RB164	PRSS2
RB165	MUC6
RB166	CALB1
RB167	IGF2
RB168	MUC5AC
RB169	MUC2
RB170	DUOX2
RB171	CEACAM6
RB172	MUC17
RB173	REG4
RB174	CTSE
RB175	SI
RB176	GPRC5A
RB177	RAB11FIP1
RB178	RPP40
RB179	RPP30
RB180	HNRNPL
RB181	RER1