Sample_Type,Genes,Log_Fold_Expression
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CRC,TGFBI,0.381230949307968
CRC,TGFBI,0
CRC,TGFBI,0.970406052783925
CRC,TGFBI,1.79525119765026
CRC,TGFBI,-0.977337524589523
CRC,TGFBI,-2.99439582001896
CRC,TGFBI,1.2130075659799
CRC,TGFBI,-2.5507816244606
CRC,TGFBI,-2.20420803418063
CRC,TGFBI,-0.817913673060735
CRC,TGFBI,-0.713941595976742
CRC,TGFBI,-0.700078652365546
CRC,TGFBI,-0.110903548889594
CRC,TGFBI,-1.58037557167668
CRC,TGFBI,0.790187785838338
CRC,TGFBI,-1.58730704348228
CRC,TGFBI,0.679284236948744
CRC,TGFBI,-2.79338313765658
CRC,TGFBI,0.845639560283132
CRC,TGFBI,-2.5854389834886
CRC,TGFBI,0.713941595976744
CRC,TGFBI,1.53878674084308
CRC,TGFBI,2.5161242654326
CRC,TGFBI,2.543850152655
CRC,TGFBI,-1.3793628893143
CRC,TGFBI,-1.2684593404247
CRC,TGFBI,40
CRC,TGFBI,-1.3100481712583
CRC,TGFBI,1.08824107347911
CRC,TGFBI,1.77445678223346
CRC,TGFBI,40
CRC,TGFBI,0.291121815835176
CRC,TGFBI,0.37429947750237
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,-0.214875625973585
AA,TGFBI,2.34283747029261
AA,TGFBI,-0.914954278339128
AA,TGFBI,40
AA,TGFBI,-2.5646445680718
AA,TGFBI,-2.82804049668458
AA,TGFBI,-2.04478418265184
AA,TGFBI,40
AA,TGFBI,-1.73979942320546
AA,TGFBI,40
AA,TGFBI,-2.44249065417535e-15
AA,TGFBI,0.152492379723185
AA,TGFBI,-0.762461898615941
AA,TGFBI,-3.8469668521077
AA,TGFBI,-1.90615474653985
AA,TGFBI,-1.2476649250079
AA,TGFBI,-0.15249237972319
AA,TGFBI,-2.5854389834886
AA,TGFBI,-1.96853799279024
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,-0.727804539587943
AA,TGFBI,0.325779174863174
AA,TGFBI,-2.16261920334703
AA,TGFBI,-0.838708088477537
Col_Neg,TGFBI,40
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-3.43801001557733
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-2.08637301348543
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-2.86269785571258
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-1.11596696070151
Col_Neg,TGFBI,40
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-1.18528167875751
Col_Neg,TGFBI,-2.5646445680718
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-1.67741617695507
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-2.39828924473741
Col_Neg,TGFBI,-2.73793136321178
CON,TGFBI,-0.99813194000632
CON,TGFBI,-3.43107854377173
CON,TGFBI,-3.16768261515895
CON,TGFBI,-3.53505062085572
CON,TGFBI,-2.00319535181824
CON,TGFBI,-2.01012682362384
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,-1.51799232542628
CON,TGFBI,-2.37749482932061
CON,TGFBI,-2.34283747029261
CON,TGFBI,-1.92694916195665
CON,TGFBI,-1.98240093640145
CON,TGFBI,-3.06371053807496
CON,TGFBI,40
CON,TGFBI,-2.03785271084624
CON,TGFBI,-1.35163700209189
CON,TGFBI,-1.49719791000948
CON,TGFBI,40
CON,TGFBI,-1.54571821264868
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,-0.0970406052783902
CON,TGFBI,-1.62196440251027
CON,TGFBI,-1.80911414126146
CON,TGFBI,40
CON,TGFBI,0.0277258872223948
CON,TGFBI,-2.01012682362384
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,-1.31004817125829
CON,TGFBI,40
CRC,RPS10,-0.21487562597358
CRC,RPS10,-0.69314718055994
CRC,RPS10,3.20233997418695
CRC,RPS10,0.589175103475959
CRC,RPS10,-0.838708088477529
CRC,RPS10,0.0277258872224022
CRC,RPS10,-0.117835020695187
CRC,RPS10,-0.693147180559943
CRC,RPS10,0.977337524589525
CRC,RPS10,0.228738569584783
CRC,RPS10,-1.2476649250079
CRC,RPS10,-1.45560907917588
CRC,RPS10,-0.672352765143144
CRC,RPS10,0.325779174863176
CRC,RPS10,0.838708088477537
CRC,RPS10,-0.103972077083991
CRC,RPS10,-1.42095172014788
CRC,RPS10,-3.18154555877014
CRC,RPS10,-0.658489821531945
CRC,RPS10,3.05677906626936
CRC,RPS10,1.65662176153827
CRC,RPS10,-0.0415888308335934
CRC,RPS10,0.658489821531952
CRC,RPS10,0.0970406052783927
CRC,RPS10,0
CRC,RPS10,40
CRC,RPS10,40
CRC,RPS10,40
CRC,RPS10,0.110903548889594
CRC,RPS10,0.291121815835178
CRC,RPS10,40
CRC,RPS10,0.589175103475957
CRC,RPS10,-0.651558349726342
AA,RPS10,1.14369284792391
AA,RPS10,40
AA,RPS10,-1.42788319195349
AA,RPS10,1.55264968445428
AA,RPS10,1.64969028973267
AA,RPS10,-0.242601513195979
AA,RPS10,-0.797119257643934
AA,RPS10,0.304984759446379
AA,RPS10,0.429751251947167
AA,RPS10,6.61262410254188
AA,RPS10,-1.60810145889907
AA,RPS10,0.069314718055998
AA,RPS10,-1.40708877653668
AA,RPS10,-0.914954278339123
AA,RPS10,0.65155834972635
AA,RPS10,-2.08637301348543
AA,RPS10,0.277258872223984
AA,RPS10,2.51612426543261
AA,RPS10,-0.00693147180559317
AA,RPS10,-0.824845144866333
AA,RPS10,0.339642118474377
AA,RPS10,40
AA,RPS10,40
AA,RPS10,40
AA,RPS10,1.19221315056311
AA,RPS10,2.30818011126462
AA,RPS10,-0.374299477502365
AA,RPS10,0.637695406115151
Col_Neg,RPS10,40
Col_Neg,RPS10,0.478271554586366
Col_Neg,RPS10,0.429751251947169
Col_Neg,RPS10,40
Col_Neg,RPS10,-0.852571032088728
Col_Neg,RPS10,40
Col_Neg,RPS10,1.3031166994527
Col_Neg,RPS10,40
Col_Neg,RPS10,0.526791857225559
Col_Neg,RPS10,-0.110903548889586
Col_Neg,RPS10,40
Col_Neg,RPS10,0.783256314032742
Col_Neg,RPS10,1.3239111148695
Col_Neg,RPS10,40
Col_Neg,RPS10,0.270327400418382
Col_Neg,RPS10,-0.145560907917584
Col_Neg,RPS10,-0.235670041390379
Col_Neg,RPS10,-0.880296919311128
CON,RPS10,40
CON,RPS10,1.59423851528788
CON,RPS10,-1.30311669945269
CON,RPS10,-0.0138629436111962
CON,RPS10,0.505997441808765
CON,RPS10,-0.256464456807176
CON,RPS10,-0.49906597000316
CON,RPS10,0.956543109172729
CON,RPS10,40
CON,RPS10,0.311916231251977
CON,RPS10,-0.367368005696767
CON,RPS10,0.644626877920754
CON,RPS10,1.10903548889592
CON,RPS10,0.623832462503955
CON,RPS10,-1.46254055098148
CON,RPS10,1.12982990431272
CON,RPS10,-0.700078652365543
CON,RPS10,0.0693147180559955
CON,RPS10,-0.159423851528783
CON,RPS10,-0.152492379723182
CON,RPS10,40
CON,RPS10,40
CON,RPS10,2.07944154167984
CON,RPS10,-0.152492379723182
CON,RPS10,-0.0554517744447945
CON,RPS10,2.36363188570942
CON,RPS10,2.03785271084624
CON,RPS10,-0.422819780141564
CON,RPS10,0.471340082780768
CON,RPS10,-0.166355323334383
CON,RPS10,0.221807097779185
CON,RPS10,-0.0762461898615911
CON,RPS10,40
CON,RPS10,1.19914462236871
CON,RPS10,40
CRC,CEMIP,-0.568380688059158
CRC,CEMIP,-1.83684002848386
CRC,CEMIP,40
CRC,CEMIP,1.53878674084308
CRC,CEMIP,0.0762461898615911
CRC,CEMIP,40
CRC,CEMIP,1.05358371445112
CRC,CEMIP,40
CRC,CEMIP,-0.75553042681034
CRC,CEMIP,40
CRC,CEMIP,-0.0415888308335958
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,-0.963474580978324
CRC,CEMIP,1.42095172014789
CRC,CEMIP,40
CRC,CEMIP,-0.173286795139986
CRC,CEMIP,40
CRC,CEMIP,0.0901091334727898
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,-1.21300756597991
CRC,CEMIP,0.817913673060735
CRC,CEMIP,0.672352765143144
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,0.0415888308335959
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,-1.33084258667509
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,-0.707010124171146
AA,CEMIP,1.82990855667825
AA,CEMIP,-0.194081210556786
AA,CEMIP,-0.318847703057575
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,-1.45560907917589
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,1.08824107347911
AA,CEMIP,0.478271554586363
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,-0.866433975699934
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,0.22180709777918
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CRC,SLCO4A1,0.970406052783922
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,2.26659128043102
CRC,SLCO4A1,0.540654800836758
CRC,SLCO4A1,0
CRC,SLCO4A1,-0.145560907917584
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,-1.13676137611831
CRC,SLCO4A1,1.3239111148695
CRC,SLCO4A1,40
CRC,SLCO4A1,0.665421293337546
CRC,SLCO4A1,40
CRC,SLCO4A1,-0.75553042681034
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,-0.686215708754347
CRC,SLCO4A1,-0.547586272642354
CRC,SLCO4A1,-0.616900990698352
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,0.561449216253557
CRC,SLCO4A1,0.117835020695192
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,-0.96347458097832
AA,SLCO4A1,2.38442630112621
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,0.505997441808763
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,0.173286795139989
AA,SLCO4A1,3.89548715474689
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,-1.12289843250711
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,0.894159862922329
CON,SLCO4A1,40
CON,SLCO4A1,-0.367368005696772
CON,SLCO4A1,40
CON,SLCO4A1,0.512928913614361
CON,SLCO4A1,40
CON,SLCO4A1,-0.575312159864751
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CRC,MMP11,-1.68434764876066
CRC,MMP11,-0.367368005696769
CRC,MMP11,40
CRC,MMP11,1.69127912056627
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,0.93574869375593
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,-1.78831972584466
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,0.776324842227142
CRC,MMP11,40
CRC,MMP11,-0.443614195558365
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,0.928817221950329
CRC,MMP11,0
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,0.693147180559948
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,-0.561449216253555
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,0.65155834972635
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,0.457477139169564
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,2.77952019404538
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CRC,GDF15,0.232204305487582
CRC,GDF15,-0.343107854377171
CRC,GDF15,40
CRC,GDF15,0.509463177711562
CRC,GDF15,0.149026643820388
CRC,GDF15,-1.07091239396511
CRC,GDF15,0.384696685210772
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,0.225272833681984
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,-1.2788565481331
CRC,GDF15,0.426285516044368
CRC,GDF15,40
CRC,GDF15,0.065848982153194
CRC,GDF15,40
CRC,GDF15,-0.065848982153194
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,-0.474805818683562
CRC,GDF15,40
CRC,GDF15,-0.169821059237187
CRC,GDF15,-0.897625598825128
AA,GDF15,0.405491100627569
AA,GDF15,40
AA,GDF15,40
AA,GDF15,0.544120536739557
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,-0.883762655213929
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,1.73633368730266
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,0.64116114201795
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CRC,ETV4,-0.547586272642359
CRC,ETV4,-0.415888308335966
CRC,ETV4,40
CRC,ETV4,1.60116998709347
CRC,ETV4,0.22180709777918
CRC,ETV4,40
CRC,ETV4,0.949611637367126
CRC,ETV4,-0.672352765143151
CRC,ETV4,-2.5299872090438
CRC,ETV4,0
CRC,ETV4,0.672352765143149
CRC,ETV4,-2.16261920334703
CRC,ETV4,-0.450545667363968
CRC,ETV4,-2.40522071654301
CRC,ETV4,0.582243631670352
CRC,ETV4,40
CRC,ETV4,0.0970406052783879
CRC,ETV4,-0.921885750144731
CRC,ETV4,0.0970406052783903
CRC,ETV4,-1.63582734612147
CRC,ETV4,40
CRC,ETV4,0.47134008278076
CRC,ETV4,-0.263395928612781
CRC,ETV4,0.665421293337546
CRC,ETV4,0.242601513195979
CRC,ETV4,-0.291121815835178
CRC,ETV4,0.894159862922329
CRC,ETV4,40
CRC,ETV4,-2.19727656237503
CRC,ETV4,0.0623832462503925
CRC,ETV4,40
CRC,ETV4,-0.436682723752767
CRC,ETV4,0.221807097779183
AA,ETV4,40
AA,ETV4,40
AA,ETV4,-1.94774357737345
AA,ETV4,0.291121815835176
AA,ETV4,-1.3447055302863
AA,ETV4,40
AA,ETV4,-2.28045422404222
AA,ETV4,40
AA,ETV4,-2.00319535181824
AA,ETV4,40
AA,ETV4,-2.82110902487898
AA,ETV4,-0.450545667363968
AA,ETV4,-0.908022806533532
AA,ETV4,-1.55264968445428
AA,ETV4,40
AA,ETV4,-1.98933240820704
AA,ETV4,40
AA,ETV4,40
AA,ETV4,40
AA,ETV4,-0.901091334727929
AA,ETV4,40
AA,ETV4,40
AA,ETV4,40
AA,ETV4,40
AA,ETV4,-0.970406052783925
AA,ETV4,-1.21993903778551
AA,ETV4,-1.89922327473425
AA,ETV4,-1.45560907917589
Col_Neg,ETV4,40
Col_Neg,ETV4,-1.2407334532023
Col_Neg,ETV4,40
Col_Neg,ETV4,40
